Index,busmap
way/16200161-150,BE
way/16200352-150,BE
way/16578954-150,BE
way/16584741-380,BE
way/19783507-150,BE
way/19783816-380,BE
way/19796807-150,BE
way/23136343-380,BE
way/23136868-380,BE
way/23136911-150,BE
way/23136959-150,BE
way/23137001-150,BE
way/23141556-380,BE
way/23142331-150,BE
way/23148423-150,BE
way/23148735-150,BE
way/23151789-380,BE
way/23151857-150,BE
way/23154962-150,BE
way/23155326-150,BE
way/23155728-150,BE
way/23157099-150,BE
way/23157445-150,BE
way/23175771-380,BE
way/23176013-380,BE
way/23177624-150,BE
way/149260065-380,BE
way/23209679-150,BE
way/23210193-150,BE
way/23299076-150,BE
way/23407689-150,BE
way/24552827-220,BE
way/25066019-150,BE
way/27874760-150,BE
way/28583497-150,BE
way/31983791-150,BE
way/32002039-380,BE
way/33119136-150,BE
way/33814285-150,BE
way/917345402-220,BE
way/35139071-150,BE
way/36040861-150,BE
way/60606465-150,BE
way/82480435-150,BE
way/82508170-150,BE
way/87238504-150,BE
way/87533387-150,BE
way/87754416-150,BE
way/87761208-380,BE
way/87763325-380,BE
way/87767333-150,BE
way/87767368-150,BE
way/87772591-380,BE
way/87772593-380,BE
way/87779917-380,BE
way/87799210-150,BE
way/87807194-380,BE
way/88032731-150,BE
way/88075501-150,BE
way/88076913-150,BE
way/88093728-150,BE
way/88174817-150,BE
way/88732606-150,BE
way/88799384-380,BE
way/90113579-380,BE
way/90992674-150,BE
way/87308370-220,BE
way/91752661-220,BE
way/92007188-220,BE
way/92015823-220,BE
way/93056461-380,BE
way/93212889-150,BE
way/94155586-220,BE
way/97728063-150,BE
way/97728065-150,BE
way/98025322-150,BE
way/98025330-150,BE
way/98410713-380,BE
way/100645863-150,BE
way/101343831-150,BE
way/102024622-150,BE
way/102178947-150,BE
way/102676544-150,BE
way/103041283-220,BE
way/102678997-220,BE
way/103455268-150,BE
way/103728343-150,BE
way/103728353-150,BE
way/103728377-150,BE
way/104310860-150,BE
way/104524889-380,BE
way/107427392-150,BE
way/107429044-150,BE
way/107432111-150,BE
way/107897716-150,BE
way/108155912-150,BE
way/108155913-150,BE
way/114082368-220,BE
way/115017366-150,BE
way/115783467-150,BE
way/120344516-150,BE
way/121085952-380,BE
way/121085954-220,BE
way/124703985-380,BE
way/127074525-150,BE
way/129169154-150,BE
way/129553981-150,BE
way/130345737-150,BE
way/130586609-150,BE
way/133963047-150,BE
way/135193936-150,BE
way/135519638-150,BE
way/135529273-150,BE
way/136822245-150,BE
way/137185687-150,BE
way/138176302-150,BE
way/138245619-150,BE
way/138276343-150,BE
way/160838303-150,BE
way/160838314-150,BE
way/160838317-150,BE
way/160838318-150,BE
way/160976810-150,BE
way/160976853-150,BE
way/161224164-220,BE
way/167844341-150,BE
way/172525072-150,BE
way/926195529-150,BE
way/181519013-150,BE
way/194445834-150,BE
way/204165052-150,BE
way/204165053-150,BE
way/204165054-150,BE
way/204328239-150,BE
way/204468261-150,BE
way/204468266-150,BE
way/204804556-150,BE
way/204940265-220,BE
way/205278766-150,BE
way/205544915-150,BE
way/205691360-150,BE
way/205691361-150,BE
way/205830400-150,BE
way/207105353-150,BE
way/207154219-150,BE
way/222047619-150,BE
way/800316655-150,BE
way/222273708-150,BE
way/222275289-150,BE
way/222279201-150,BE
way/223068807-150,BE
way/223068816-150,BE
way/223109689-150,BE
way/223109692-150,BE
way/223200939-150,BE
way/223322522-150,BE
way/223451301-150,BE
way/224877453-150,BE
way/225622587-150,BE
way/226147845-150,BE
way/226439879-150,BE
way/226445167-150,BE
way/226445170-150,BE
way/704374331-150,BE
way/226975187-150,BE
way/239441195-150,BE
way/248979583-150,BE
way/451968213-150,BE
way/457635067-380,BE
way/465152935-150,BE
way/495688586-380,BE
way/495688597-380,BE
way/585476945-150,BE
way/628833196-150,BE
way/648567655-150,BE
way/666541430-150,BE
way/693943715-150,BE
way/694070253-150,BE
way/700845073-150,BE
way/205830382-150,BE
way/1001478336-220,BE
way/1062894258-220,BE
way/25637523-400,DK
way/26314408-132,DK
way/26348584-132,DK
way/26452107-400,DK
way/26589938-132,DK
way/26931696-132,DK
way/26931725-400,DK
way/26953215-400,DK
way/27363450-132,DK
way/27363746-132,DK
way/27534623-132,DK
way/27535037-132,DK
way/27605372-132,DK
way/27688585-132,DK
way/27730861-132,DK
way/28012651-132,DK
way/28101547-132,DK
way/29456947-132,DK
way/30653149-132,DK
way/1171502182-150,DK
way/38687913-150,DK
way/42128776-400,DK
way/47360911-150,DK
way/69413930-150,DK
way/69421685-150,DK
way/1379134205-400,DK
way/69475464-150,DK
way/87313244-150,DK
way/87572083-150,DK
way/88294700-150,DK
way/93624851-400,DK
way/93790303-150,DK
way/94092311-400,DK
way/95694419-150,DK
way/95713495-400,DK
way/95840891-400,DK
way/95841929-150,DK
way/95868394-150,DK
way/95868396-400,DK
way/96556117-150,DK
way/96614312-150,DK
way/96632017-150,DK
way/97010538-400,DK
way/98030043-150,DK
way/98033206-400,DK
way/98041227-150,DK
way/98212652-400,DK
way/98216482-400,DK
way/98327565-132,DK
way/98335963-132,DK
way/98344883-150,DK
way/98348071-150,DK
way/98524305-400,DK
way/98526640-400,DK
way/98662856-132,DK
way/98763876-150,DK
way/99079504-150,DK
way/99379392-150,DK
way/99416527-150,DK
way/99420087-150,DK
way/99935739-150,DK
way/100256304-150,DK
way/100528749-150,DK
way/103575499-150,DK
way/105082490-132,DK
way/105589971-132,DK
way/108831038-150,DK
way/109068855-150,DK
way/114423216-150,DK
way/115666576-150,DK
way/116717437-132,DK
way/118245408-150,DK
way/119015529-150,DK
way/119648633-150,DK
way/119669982-132,DK
way/119677395-132,DK
way/119682338-132,DK
way/119786181-150,DK
way/120813464-132,DK
way/125669085-150,DK
way/125669089-150,DK
way/126108744-150,DK
way/126108747-150,DK
way/127264718-150,DK
way/128931694-150,DK
way/790172587-150,DK
way/131339681-132,DK
way/131339683-400,DK
way/131443963-132,DK
way/131443969-132,DK
way/131443981-132,DK
way/131547091-132,DK
way/131549492-132,DK
way/131620627-132,DK
way/131621963-132,DK
way/131818435-132,DK
way/132152046-132,DK
way/132259984-132,DK
way/132260795-132,DK
way/132263892-132,DK
way/132653860-132,DK
way/132655852-132,DK
way/132865713-132,DK
way/132871261-132,DK
way/133082281-400,DK
way/133082320-132,DK
way/133097661-132,DK
way/133097675-132,DK
way/133555504-400,DK
way/134152066-150,DK
way/134265134-132,DK
way/147072133-132,DK
way/151073920-150,DK
way/160792651-400,DK
way/165635531-132,DK
way/1101832649-400,DK
way/177555837-132,DK
way/198032046-132,DK
way/198038556-132,DK
way/198038558-132,DK
way/198614550-132,DK
way/199399847-132,DK
way/199713891-400,DK
way/202017024-150,DK
way/205340733-150,DK
way/214266451-220,DK
way/216521602-150,DK
way/234340226-132,DK
way/250212215-400,DK
way/250223259-150,DK
way/253817668-150,DK
way/253817669-150,DK
way/1290369829-400,DK
way/316459619-132,DK
way/316584037-132,DK
way/1271587268-400,DK
way/399011051-132,DK
way/456610517-150,DK
way/173208825-150,DK
way/198382724-150,DK
way/889061694-220,DK
way/981151624-150,DK
way/982644140-150,DK
way/99220741-400,DK
relation/19092929-400,DK
way/1432089357-150,DK
way/16287586-225,FR
way/22873838-225,FR
way/22873840-225,FR
way/22938964-225,FR
way/23286313-400,FR
way/23287448-400,FR
way/24020441-400,FR
way/24020601-400,FR
way/24025291-400,FR
way/24035563-225,FR
way/24849819-400,FR
way/24913871-225,FR
way/24919917-225,FR
way/24923808-225,FR
way/24990664-225,FR
way/26112209-400,FR
way/26272450-225,FR
way/26376732-225,FR
way/26376870-400,FR
way/26395237-225,FR
way/26813222-225,FR
way/27259817-400,FR
way/27259978-225,FR
way/444069687-400,FR
way/27428702-225,FR
way/27558020-225,FR
way/27768969-225,FR
way/27951432-400,FR
way/28068171-225,FR
way/28525395-225,FR
way/28706541-225,FR
way/28761900-225,FR
way/29088787-400,FR
way/30292953-400,FR
way/31420746-225,FR
way/32067290-225,FR
way/32196554-400,FR
way/32876673-225,FR
way/33113310-225,FR
way/33973725-225,FR
way/34198056-400,FR
way/34349978-225,FR
way/34387620-225,FR
way/34398164-225,FR
way/34398358-225,FR
way/34583920-225,FR
way/35206465-225,FR
way/35538714-225,FR
way/36144696-225,FR
way/36286080-225,FR
way/36805588-400,FR
way/36973630-225,FR
way/37029850-225,FR
way/38073132-225,FR
way/1311064859-225,FR
way/39389229-400,FR
way/39407602-225,FR
way/39575812-225,FR
way/40266681-225,FR
way/90038323-225,FR
way/41436841-225,FR
way/41591146-225,FR
way/442651900-400,FR
way/41829825-400,FR
way/41834104-225,FR
way/590596973-225,FR
way/43852864-225,FR
way/44357629-225,FR
way/44448089-225,FR
way/44883864-400,FR
way/46172440-225,FR
way/47633664-225,FR
way/47660196-225,FR
way/47739331-225,FR
way/48815655-225,FR
way/49049745-400,FR
way/49338373-225,FR
way/49510896-400,FR
way/353946232-225,FR
way/53944139-225,FR
way/655200302-225,FR
way/56585982-225,FR
way/68925871-225,FR
way/56997464-400,FR
way/56998024-400,FR
way/57941014-225,FR
way/61238361-225,FR
way/62233283-225,FR
way/62279693-225,FR
way/63213632-225,FR
way/78148795-225,FR
way/63646845-225,FR
way/64040939-225,FR
way/1162035523-225,FR
way/307228675-225,FR
way/67913038-225,FR
way/69332224-225,FR
way/69813552-400,FR
way/69999641-225,FR
way/70452467-225,FR
way/71125063-225,FR
way/71933077-400,FR
way/243007631-400,FR
way/74699439-225,FR
way/75509664-225,FR
way/75750171-225,FR
way/77269251-225,FR
way/231157313-225,FR
way/147174230-225,FR
way/79805353-225,FR
way/79866837-400,FR
way/79981817-225,FR
way/80719004-225,FR
way/81228088-400,FR
way/81638061-225,FR
way/81641090-400,FR
way/81665271-400,FR
way/81758476-400,FR
way/82130902-225,FR
way/82226136-225,FR
way/82306874-400,FR
way/82467033-225,FR
way/82599261-400,FR
way/82715808-400,FR
way/82741307-400,FR
way/765852555-225,FR
way/82746777-225,FR
way/82746780-225,FR
way/82805188-400,FR
way/82825438-400,FR
way/82825446-400,FR
way/312728271-400,FR
way/82949228-400,FR
way/82949240-400,FR
way/82967739-400,FR
way/82976238-225,FR
way/83105240-225,FR
way/83118679-225,FR
way/83293593-400,FR
way/83705700-225,FR
way/244052593-400,FR
way/83731566-225,FR
way/83819431-225,FR
way/84153220-400,FR
way/508026463-400,FR
way/84325599-225,FR
way/84452130-400,FR
way/84476231-400,FR
way/84485792-400,FR
way/84490483-400,FR
way/1231941645-225,FR
way/84603564-400,FR
way/84810304-225,FR
way/85047359-400,FR
way/85198005-400,FR
way/85203486-400,FR
way/85217416-400,FR
way/986797416-225,FR
way/85273680-400,FR
way/85335661-400,FR
way/85339874-225,FR
way/85446794-225,FR
way/85605950-400,FR
way/85605959-400,FR
way/85710783-400,FR
way/1330896577-400,FR
way/85735049-225,FR
way/85821243-400,FR
way/85827397-400,FR
way/85827398-400,FR
way/85845085-400,FR
way/85851255-400,FR
way/85867971-400,FR
way/85877326-400,FR
way/85895367-400,FR
way/85955250-225,FR
way/85995894-400,FR
way/86023818-400,FR
way/86131984-400,FR
way/86162998-400,FR
way/86260099-400,FR
way/86260748-400,FR
way/86297273-400,FR
way/86342772-400,FR
way/86344183-400,FR
way/86462910-225,FR
way/86969390-225,FR
way/88689866-225,FR
way/89022039-225,FR
way/788298548-400,FR
way/89158123-225,FR
way/90032133-225,FR
way/90415251-225,FR
way/90842395-400,FR
way/90854143-225,FR
way/91351689-225,FR
way/92316703-225,FR
way/92316708-225,FR
way/92896823-225,FR
way/93189928-400,FR
way/146449309-400,FR
way/95209542-225,FR
way/95409416-225,FR
way/95810878-225,FR
way/95986421-225,FR
way/96082284-225,FR
way/96822819-225,FR
way/96839470-225,FR
way/97547196-225,FR
way/97786202-225,FR
way/98390525-400,FR
way/98890904-400,FR
way/98945703-225,FR
way/99623587-225,FR
way/99722046-400,FR
way/99790222-150,FR
way/100021432-225,FR
way/100087916-400,FR
way/268547996-400,FR
way/101086962-225,FR
way/101108382-225,FR
way/101207712-225,FR
way/101217260-225,FR
way/101228343-225,FR
way/101494744-225,FR
way/103365741-225,FR
way/103921705-225,FR
way/103960552-225,FR
way/104008765-225,FR
way/104240116-225,FR
way/299860588-225,FR
way/104481448-225,FR
way/105197514-225,FR
way/105202875-225,FR
way/105260066-225,FR
way/105515586-400,FR
way/105571340-400,FR
way/105630888-400,FR
way/105652436-225,FR
way/105652455-225,FR
way/105690676-400,FR
way/105783300-400,FR
way/105840884-400,FR
way/105913465-400,FR
way/105913481-225,FR
way/106284701-225,FR
way/106467890-225,FR
way/107121899-225,FR
way/107434290-225,FR
way/108084125-225,FR
way/108089073-225,FR
way/109227983-225,FR
way/109367858-225,FR
way/437890971-400,FR
way/109859712-400,FR
way/110086345-400,FR
way/110443404-400,FR
way/110450456-400,FR
way/110468028-225,FR
way/110522458-225,FR
way/110542740-225,FR
way/110602441-225,FR
way/110602470-225,FR
way/758192229-225,FR
way/111265307-225,FR
way/111276881-225,FR
way/111414142-400,FR
way/111449797-225,FR
way/111456385-400,FR
way/111458307-400,FR
way/611262613-400,FR
way/111558561-225,FR
way/111769053-225,FR
way/111816982-225,FR
way/112145777-225,FR
way/112310487-225,FR
way/112342683-400,FR
way/112893617-400,FR
way/112925040-225,FR
way/113020114-225,FR
way/113024932-225,FR
way/244052591-400,FR
way/113338234-225,FR
way/114018928-400,FR
way/114254761-225,FR
way/114355666-400,FR
way/114359287-225,FR
way/114363583-400,FR
way/114730382-225,FR
way/758228826-225,FR
way/115476080-225,FR
way/116168269-225,FR
way/116669781-225,FR
way/116670124-225,FR
way/116702384-225,FR
way/117350758-400,FR
way/117421453-225,FR
way/117446403-400,FR
way/117537715-225,FR
way/117810798-225,FR
way/117893799-400,FR
way/117975440-400,FR
way/118079877-400,FR
way/118086309-400,FR
way/118091900-225,FR
way/118112539-225,FR
way/118121876-400,FR
way/71644039-225,FR
way/118127416-225,FR
way/118133021-225,FR
way/118133060-225,FR
way/118133898-225,FR
way/118184233-225,FR
way/108099552-400,FR
way/118204938-225,FR
way/118213015-225,FR
way/118216358-225,FR
way/118216361-225,FR
way/118234031-225,FR
relation/13260100-400,FR
way/118260031-225,FR
way/118339972-225,FR
way/118380818-225,FR
way/118380822-225,FR
way/118387083-400,FR
way/118387084-225,FR
way/118400622-225,FR
way/118400623-225,FR
way/118591672-225,FR
way/118655802-400,FR
way/118684662-225,FR
way/118684992-225,FR
way/118727701-225,FR
way/119048154-225,FR
way/119686764-225,FR
way/119695089-150,FR
way/120464542-225,FR
way/120522167-225,FR
way/120553316-225,FR
way/120707003-400,FR
way/120747628-225,FR
way/120861987-225,FR
way/120945065-225,FR
way/120999658-225,FR
way/121024004-225,FR
way/121025339-225,FR
way/121034892-225,FR
way/121035301-225,FR
way/121066819-150,FR
way/636494294-225,FR
way/121087628-225,FR
way/121101846-225,FR
way/121116528-225,FR
way/121142266-225,FR
way/121152763-225,FR
way/121161175-225,FR
way/121297422-400,FR
way/121499607-225,FR
way/121500497-400,FR
way/122061929-225,FR
way/122104435-225,FR
way/122361853-225,FR
way/122411058-225,FR
way/122563466-400,FR
way/122568639-225,FR
way/122748502-225,FR
way/122752897-225,FR
way/122755047-225,FR
way/122755068-225,FR
way/122923029-225,FR
way/123120808-225,FR
way/125003945-225,FR
way/125076979-225,FR
way/125164718-225,FR
way/125494395-225,FR
way/125495792-225,FR
way/125550372-225,FR
way/125721667-225,FR
way/126417428-225,FR
way/128106453-225,FR
way/128381283-225,FR
way/128381294-225,FR
way/128524174-225,FR
way/129026531-225,FR
way/129221790-225,FR
way/129378915-400,FR
way/129440971-225,FR
way/129579898-225,FR
way/129580075-225,FR
way/129581885-225,FR
way/129614642-225,FR
way/129624451-225,FR
way/129628306-225,FR
way/129631438-225,FR
way/129662180-225,FR
way/129740666-225,FR
way/129830455-225,FR
way/130017468-225,FR
way/130042275-225,FR
way/130132975-225,FR
way/132205224-225,FR
way/130459448-225,FR
way/130549366-225,FR
way/130562947-225,FR
way/130595758-225,FR
way/130659505-225,FR
way/130768506-225,FR
way/130792479-225,FR
way/364077434-225,FR
way/131317126-225,FR
way/131645796-225,FR
way/131724979-225,FR
way/132456099-225,FR
way/1417304825-225,FR
way/133181704-225,FR
way/133299582-400,FR
way/133400747-225,FR
way/133637359-225,FR
way/133667044-225,FR
way/133868507-225,FR
way/134147651-225,FR
way/135183628-225,FR
way/135282004-225,FR
way/135314787-225,FR
way/590596976-225,FR
way/135509029-225,FR
way/135585545-225,FR
way/135727900-225,FR
way/135855286-225,FR
way/135873560-225,FR
way/136015463-225,FR
way/136068611-225,FR
way/136068620-225,FR
way/136286073-225,FR
way/136326140-225,FR
way/136416550-225,FR
way/137083764-225,FR
way/137191333-225,FR
way/80646661-225,FR
way/137355542-225,FR
way/137365310-225,FR
way/137474877-225,FR
way/138108387-225,FR
way/138149900-225,FR
way/138278216-225,FR
way/138382023-400,FR
way/138610604-225,FR
way/138787590-225,FR
way/138973246-225,FR
way/1328928940-225,FR
way/139098414-225,FR
way/139593701-225,FR
way/139834740-225,FR
way/140753578-225,FR
way/141073343-225,FR
way/142360067-225,FR
way/142420422-225,FR
way/142456148-225,FR
way/142456160-225,FR
way/142456170-225,FR
way/142456176-225,FR
way/142505460-225,FR
way/142571672-225,FR
way/142942574-225,FR
way/143124467-225,FR
way/143283235-225,FR
way/144099634-225,FR
way/145289725-225,FR
way/146360237-225,FR
way/146360239-225,FR
way/146360243-225,FR
way/146360244-225,FR
way/146366949-225,FR
way/146402374-225,FR
way/146402376-225,FR
way/146449311-225,FR
way/146449312-225,FR
way/146449314-225,FR
way/146449674-225,FR
way/146534501-225,FR
way/146534502-225,FR
way/146534504-225,FR
way/146534506-225,FR
way/146534507-225,FR
way/146590044-225,FR
way/146590045-225,FR
way/146590047-225,FR
way/146590048-225,FR
way/146695955-400,FR
way/146744609-225,FR
way/147056882-400,FR
way/202753898-400,FR
way/147132682-225,FR
way/147132685-400,FR
way/147132690-400,FR
way/147132693-225,FR
way/147132694-400,FR
way/147174217-225,FR
way/147174234-225,FR
way/147174236-225,FR
way/214858101-225,FR
way/147174239-225,FR
way/147174244-225,FR
way/147174246-225,FR
way/147174250-225,FR
way/147174253-225,FR
way/147174254-225,FR
way/147187631-225,FR
way/147187633-225,FR
way/147394004-225,FR
way/147394005-225,FR
way/147394006-225,FR
way/147394007-225,FR
way/147394008-225,FR
way/147394010-225,FR
way/147394011-225,FR
way/147394012-225,FR
way/147394013-225,FR
way/147394014-225,FR
way/147394015-225,FR
way/147394016-225,FR
way/147394017-225,FR
way/147394018-225,FR
way/147398274-225,FR
way/147398275-225,FR
way/147398276-225,FR
way/147398277-225,FR
way/147398278-225,FR
way/147398279-225,FR
way/147398280-225,FR
way/147467591-150,FR
way/147580954-225,FR
way/147580956-225,FR
way/147580961-225,FR
way/147580963-225,FR
way/147580965-225,FR
way/147580968-225,FR
way/147580973-225,FR
way/147580976-225,FR
way/147580978-225,FR
way/147580984-225,FR
way/147580985-225,FR
way/147580990-225,FR
way/147580994-225,FR
way/147580996-225,FR
way/147580998-225,FR
way/147581003-225,FR
way/147581004-225,FR
way/147581012-225,FR
way/147581013-225,FR
way/148059532-225,FR
way/148059534-225,FR
way/148059535-225,FR
way/148059536-225,FR
way/148059537-225,FR
way/148564021-225,FR
way/148673138-225,FR
way/150329778-225,FR
way/150366395-225,FR
way/152120009-225,FR
way/152778326-225,FR
way/152835217-225,FR
way/153495180-225,FR
way/154391107-225,FR
way/157456064-400,FR
way/157504231-225,FR
way/158232795-225,FR
way/449413597-400,FR
way/159902120-225,FR
way/162540710-400,FR
way/759073166-225,FR
way/164966742-225,FR
way/165517186-225,FR
way/165830069-225,FR
way/165966009-225,FR
way/166057222-225,FR
way/166073883-400,FR
way/166253937-225,FR
way/166401454-225,FR
way/166630982-225,FR
relation/17873353-225,FR
way/167268705-225,FR
way/167268763-225,FR
way/169393427-225,FR
way/169545189-225,FR
way/169799372-225,FR
way/755754796-225,FR
way/170062580-225,FR
way/170184991-225,FR
way/171051788-225,FR
way/172383984-225,FR
way/172735399-225,FR
way/173265188-225,FR
way/173602844-150,FR
way/174956794-225,FR
way/175907366-225,FR
way/176499686-225,FR
way/177365955-225,FR
way/818615581-225,FR
way/177428102-225,FR
way/177912872-225,FR
way/177964767-225,FR
way/177964771-225,FR
way/178995408-225,FR
way/179007671-225,FR
way/179260933-400,FR
way/179848961-225,FR
way/180569105-225,FR
way/589696033-225,FR
way/181412906-225,FR
way/182816228-225,FR
way/182939731-225,FR
way/183105308-225,FR
way/183182430-225,FR
way/183215456-225,FR
way/183266820-225,FR
way/183266838-225,FR
way/183818442-225,FR
way/135183629-225,FR
way/183836524-225,FR
way/184486846-225,FR
way/184492595-225,FR
way/186499822-225,FR
way/188144496-400,FR
way/188915706-225,FR
way/190187643-225,FR
way/194171589-150,FR
way/194571876-225,FR
way/196073443-225,FR
way/197040234-225,FR
way/197263262-225,FR
way/198441076-225,FR
way/199093574-225,FR
way/199229562-400,FR
way/203122176-225,FR
way/818615583-225,FR
way/204349873-225,FR
way/206645276-150,FR
way/206645277-150,FR
way/206829975-225,FR
way/207292011-225,FR
way/207479669-225,FR
way/207526732-225,FR
way/207762797-225,FR
way/208272092-150,FR
way/208388459-225,FR
way/208424341-225,FR
way/210389707-400,FR
way/211875283-225,FR
way/214483816-400,FR
way/217600189-225,FR
way/219639224-225,FR
way/497510591-225,FR
way/222188543-400,FR
way/224057553-225,FR
way/225210595-400,FR
way/226898600-225,FR
way/228049601-225,FR
way/229597405-400,FR
way/229901364-150,FR
way/229907568-225,FR
way/231157304-225,FR
way/231157307-225,FR
way/231157310-225,FR
way/231157311-225,FR
